strate;PRIX_M2_Q50
275;2162.4001315494556
276;1985.3018529081214
277;1978.821864884502
278;1546.5364148084318
279;1615.9351830009591
280;1484.7956858542193
281;1455.5787825156258
282;2155.835119956925
283;2328.7865144999355
284;2209.39967703976
285;2266.6209554292645
286;1881.8517112299469
287;3065.5195157178523
288;3162.2693701180333
289;3369.9482622654414
290;6383.651798132513
291;1742.5934230354017
292;1859.1430694788755
293;2159.0273393163275
294;1725.7748508281124
295;1926.4147619047617
296;2525.7425974941525
297;2097.608189662883
298;2556.742823348409
299;3043.8249650023413
300;3013.757853680864
301;2906.931545648995
302;3243.1993868768905
303;3053.467582113698
304;4651.083431629524
305;3598.559644264011
306;3618.8188717986227
307;2853.741896441923
308;3568.178238448114
309;2984.242538018754
310;2929.9225238625218
311;4569.442041676752
312;6849.1663776869955
313;3278.433298709945
314;3998.3554012240365
315;1176.3786069466219
316;1351.5446229970046
317;1479.8322783773206
318;1491.3703702975276
319;1511.3102836523685
320;1574.7440753267115
321;2019.498421052632
322;1652.4458163309089
323;1751.7683657020398
324;4753.8263693581075
325;3116.3219445786403
326;3184.8314576409357
